metacountry;metacountry_label;country;start_precision;start;end_precision;end;;;;
Metastate_Q1033;Нигерия;Q894030;2;1.01.1380;2;1.01.1893;;;;
Metastate_Q1033;Нигерия;Q849623;3;1.01.1300;2;1.01.1896;;;;
Metastate_Q1033;Нигерия;Q171203;2;1.01.1180;2;1.01.1897;;;;
Metastate_Q1033;Нигерия;Q15043630;3;1.01.1840;3;1.01.1900;;;;
Metastate_Q1033;Нигерия;Q761370;2;1.01.1690;2;1.01.1902;;;;
Metastate_Q1033;Нигерия;Q3123512;2;1.01.1807;2;1.01.1903;;;;
Metastate_Q1033;Нигерия;Q600524;2;1.01.1804;2;1.01.1903;;;;
Metastate_Q1033;Нигерия;Q145749;2;1.01.948;2;1.01.1911;;;;
Metastate_Q1033;Нигерия;Q2566427;2;1.01.1884;2;1.01.1900;;;;
Metastate_Q1033;Нигерия;Q472146;2;1.01.1862;2;1.01.1906;;;;
Metastate_Q1033;Нигерия;Q585408;2;1.01.1900;2;1.01.1914;;;;
Metastate_Q1033;Нигерия;Q2062030;2;1.01.1900;2;1.01.1914;;;;
Metastate_Q1033;Нигерия;Q2046345;2;1.01.1914;2;1.01.1960;;;;
Metastate_Q1033;Нигерия;Q5440850;2;1.01.1960;2;1.01.1963;;;;
Metastate_Q1033;Нигерия;Q1033;2;1.01.1963;;по наст. время;;;;
Metastate_Q1037;Руанда;Q153963;2;1.01.1891;2;1.01.1919;;;;
Metastate_Q1037;Руанда;Q590743;2;1.01.1922;2;1.01.1962;;;;
Metastate_Q1037;Руанда;Q889884;2;1.01.1962;2;1.01.1962;;;;
Metastate_Q1037;Руанда;Q1037;2;1.01.1962;;по наст. время;;;;
Metastate_Q1039;Сан-Томе и Принсипи;Q7232692;2;1.01.1470;2;1.01.1975;;;;
Metastate_Q1039;Сан-Томе и Принсипи;Q1039;2;1.01.1975;;по наст. время;;;;
Metastate_Q1041;Сенегал;Q5502051;2;1.01.1848;2;1.01.1960;;;;
Metastate_Q1041;Сенегал;Q216632;2;1.01.1960;2;1.01.1960;;;;
Metastate_Q1041;Сенегал;Q828443;2;1.01.1982;2;1.01.1989;;;;
Metastate_Q1041;Сенегал;Q1041;2;1.01.1960;;по наст. время;;;;
Metastate_Q1042;Сейшельские Острова;Q21821453;2;1.01.1903;2;1.01.1976;;;;
Metastate_Q1042;Сейшельские Острова;Q1042;2;1.01.1976;;по наст. время;;;;
Metastate_Q1044;Сьерра-Леоне;Q30059027;2;1.01.1808;2;1.01.1961;;;;
Metastate_Q1044;Сьерра-Леоне;Q14920623;2;1.01.1961;2;1.01.1971;;;;
Metastate_Q1044;Сьерра-Леоне;Q1044;2;1.01.1971;;по наст. время;;;;
Metastate_Q1045;Сомали;Q861784;3;1.01.900;3;1.01.1500;;;;
Metastate_Q1045;Сомали;Q862532;3;1.01.1200;3;1.01.1600;;;;
Metastate_Q1045;Сомали;Q889374;2;1.01.1218;2;1.01.1886;;;;
Metastate_Q1045;Сомали;Q157727;2;1.01.1285;2;1.01.1415;;;;
Metastate_Q1045;Сомали;Q2365048;2;1.01.1415;2;1.01.1577;;;;
Metastate_Q1045;Сомали;Q862518;3;1.01.1600;2;1.01.1910;;;;
Metastate_Q1045;Сомали;Q2257830;3;1.01.1800;2;1.01.1924;;;;
